1:1,9,7,6,4,9,4,9,6,5,5,9,6,8,3,7,7,7,6,9,4,3,5,1,3,5,6,6,5,9
2:6,8,2,6,5,6,7,9,5,6,4,5,9,6,4,2,6,1,8,1,4,5,3,2,9,5,7,3,9,9
3:5,6,1,5,6,8,1,1,2,6,2,5,6,5,9,1,4,6,9,5,8,6,7,4,1,8,7,3,5,6
4:6,1,3,1,9,8,1,9,3,8,3,2,9,3,3,2,5,3,4,2,2,2,6,8,7,3,7,1,7,7
5:8,6,8,8,6,8,2,4,6,8,9,6,4,6,9,1,6,8,4,9,2,9,1,4,5,5,3,6,1,3
6:9,2,7,1,6,7,6,8,9,4,7,7,6,5,8,5,6,3,2,8,8,7,6,1,8,4,4,5,7,2
7:4,1,9,1,7,3,7,6,7,1,3,4,9,1,1,5,3,5,6,8,6,9,3,2,6,7,4,7,9,5
8:2,9,2,1,5,9,6,8,4,7,3,9,4,8,9,5,7,6,1,8,4,1,7,9,3,5,3,9,5,1
9:2,2,5,3,1,7,7,8,8,2,2,3,7,9,6,8,8,6,2,6,1,6,7,3,3,7,4,2,8,7
10:7,9,3,4,7,4,3,6,2,7,2,5,9,4,6,2,7,9,7,7,9,2,4,3,6,2,6,5,4,6
11:2,1,6,8,7,3,6,9,9,1,5,6,3,8,8,8,7,3,2,4,8,5,9,2,1,1,4,8,9,3
12:3,9,9,6,8,1,1,3,1,6,2,4,6,2,7,7,4,3,7,4,5,2,1,8,5,8,4,4,6,3
13:9,7,6,2,5,9,9,2,3,2,1,9,7,1,3,9,5,2,3,6,7,9,9,2,5,3,2,9,5,5
14:2,5,6,5,4,4,8,4,1,6,1,9,6,3,9,3,2,1,6,9,7,7,6,7,3,5,7,5,1,8
15:4,2,8,4,9,2,7,3,2,4,8,8,8,3,8,1,4,4,4,9,4,4,5,1,5,8,1,6,4,3
16:7,1,2,9,3,6,6,5,4,4,9,1,5,1,8,9,2,1,6,6,3,3,1,4,5,6,7,2,5,7
17:1,8,9,1,3,4,3,4,3,5,8,7,7,8,3,3,1,6,4,4,6,5,4,4,6,4,7,5,1,8
